Date,Open,High,Low,Close,Adj Close,Volume
11/10/15,207.509995,208.600006,207.190002,208.559998,194.529099,75874600
11/9/15,209.309998,209.490005,206.949997,208.080002,194.081406,131008700
11/6/15,209.740005,210.320007,208.460007,210.039993,195.909561,110471500
11/5/15,210.429993,210.979996,209.089996,210.149994,196.012131,78408700
11/4/15,211.350006,211.5,209.720001,210.380005,196.226669,90967700
11/3/15,209.970001,211.660004,209.699997,211,196.804932,95246100
11/2/15,208.320007,210.619995,208.169998,210.389999,196.236008,86270800
10/30/15,209.059998,209.440002,207.740005,207.929993,193.941513,131076900
10/29/15,208.350006,209.270004,208.210007,208.889999,194.836914,84727800
10/28/15,207,208.979996,206.210007,208.940002,194.883545,135906700
10/27/15,206.199997,207,205.789993,206.570007,192.673004,77905800
10/26/15,207.300003,207.369995,206.559998,206.990005,193.064743,69033000
10/23/15,207.25,207.949997,206.300003,207.520004,193.559082,144442300
10/22/15,202.979996,205.509995,201.850006,205.210007,191.404465,174911700
10/21/15,203.610001,203.789993,201.649994,201.850006,188.270508,102038000
10/20/15,202.850006,203.839996,202.550003,203.110001,189.445755,78448500
10/19/15,202.5,203.369995,202.130005,203.369995,189.688278,76523900
10/16/15,202.830002,203.289993,201.919998,203.270004,189.595016,114580100
10/15/15,200.080002,202.360001,199.639999,202.350006,188.736893,134142200
10/14/15,200.179993,200.869995,198.940002,199.289993,185.882736,99106200
10/13/15,200.649994,202.160004,200.050003,200.25,186.778168,88038700
10/12/15,201.419998,201.759995,200.910004,201.520004,187.962769,56395600
10/9/15,201.380005,201.899994,200.580002,201.330002,187.785507,107069200
10/8/15,198.949997,201.550003,198.589996,201.210007,187.673615,153055200
10/7/15,198.899994,199.830002,197.479996,199.410004,185.99469,124307300
10/6/15,198.309998,198.979996,197,197.789993,184.483643,110274500
10/5/15,196.460007,198.740005,196.330002,198.470001,185.117889,126320800
10/2/15,189.770004,195.029999,189.119995,195,181.881378,211003300
10/1/15,192.080002,192.490005,189.820007,192.130005,179.204468,131079000
9/30/15,190.369995,191.830002,189.440002,191.589996,178.70076,152593200
9/29/15,188.270004,189.740005,186.929993,188.080002,175.42691,159045600
9/28/15,191.779999,191.910004,187.639999,187.910004,175.268356,178515900
9/25/15,194.639999,195,191.809998,192.869995,179.894653,155054800
9/24/15,192.149994,193.449997,190.559998,192.929993,179.950607,159378800
9/23/15,194.110001,194.669998,192.910004,193.600006,180.575546,92790600
9/22/15,193.880005,194.460007,192.559998,193.899994,180.855392,153890900
9/21/15,196.440002,197.679993,195.210007,196.440002,183.224487,105726200
9/18/15,195.710007,198.679993,194.960007,195.360001,182.217133,213315400
9/17/15,200.020004,202.889999,199.279999,199.699997,185.301239,276046600
9/16/15,198.820007,200.410004,198.410004,200.139999,185.709534,99581600
